time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-03T02:16:21.589Z,60.2081,-153.0699,130.3,2.6,ml,,,,0.46,ak,ak16411876,2017-08-03T02:32:19.468Z,"35km SSW of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-08-03T01:42:15.346Z,61.6025,-146.797,11.8,2.5,ml,,,,0.78,ak,ak16411797,2017-08-03T01:51:35.002Z,"57km NNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-08-03T00:32:02.660Z,-20.8417,-178.7171,575.88,4.4,mb,,80,4.335,0.69,us,us2000a3xf,2017-08-03T00:48:47.040Z,"21km S of Ndoi Island, Fiji",earthquake,11.4,8.5,0.055,96,reviewed,us,us
2017-08-03T00:18:17.330Z,44.8043333,-111.0661667,7.78,2.84,ml,30,50,0.02985,0.12,uu,uu60220922,2017-08-03T14:53:36.073Z,"16km N of West Yellowstone, Montana",earthquake,0.25,0.26,0.054,9,reviewed,uu,uu
2017-08-03T00:14:59.870Z,39.7145,73.952,48.76,4.6,mb,,64,1.675,0.6,us,us2000a3x9,2017-08-03T00:40:04.040Z,"60km E of Sary-Tash, Kyrgyzstan",earthquake,6,4.6,0.068,65,reviewed,us,us
2017-08-02T23:51:03.410Z,36.3991,-99.0917,5.86,2.6,mb_lg,,62,0.075,0.45,us,us2000a3x3,2017-08-03T03:32:12.584Z,"11km ESE of Mooreland, Oklahoma",earthquake,2.8,7.6,0.07,53,reviewed,us,us
2017-08-02T22:16:38.430Z,35.6674,-97.3994,5.54,2.6,mb_lg,,51,0.136,0.3,us,us2000a3vx,2017-08-03T17:29:01.667Z,"7km ENE of Edmond, Oklahoma",earthquake,1.8,7.4,0.07,53,reviewed,us,us
2017-08-02T21:30:26.260Z,-28.4719,-71.2651,40.79,4.3,mb,,145,0.315,1.02,us,us10009j2p,2017-08-02T23:13:17.295Z,"50km WNW of Vallenar, Chile",earthquake,5.7,6.1,0.148,13,reviewed,us,us
2017-08-02T21:25:21.020Z,18.5766,-70.4069,33.28,4,mwr,,104,0.898,1.19,us,us10009j2j,2017-08-03T15:02:14.975Z,"10km ENE of San Jose de Ocoa, Dominican Republic",earthquake,5.1,3.2,0.093,11,reviewed,us,us
2017-08-02T21:05:42.430Z,53.1466,159.7159,70.3,4.8,mb,,114,0.654,1.05,us,us10009j2b,2017-08-02T21:24:54.040Z,"72km E of Petropavlovsk-Kamchatskiy, Russia",earthquake,9.4,6.5,0.037,228,reviewed,us,us
2017-08-02T20:45:26.900Z,35.6704,-97.4038,6.477,3.3,ml,,19,,0.25,us,us10009j1h,2017-08-03T13:31:14.634Z,"7km ENE of Edmond, Oklahoma",earthquake,1.2,3.7,,,reviewed,tul,tul
2017-08-02T20:34:02.410Z,19.2265,-155.3988333,33.511,2.57,ml,57,145,0.01102,0.12,hv,hv61571862,2017-08-03T20:23:12.500Z,"8km ENE of Pahala, Hawaii",earthquake,0.45,0.59,0.205,29,reviewed,hv,hv
2017-08-02T20:10:56.490Z,-8.4936,-76.0763,38.48,4.7,mb,,124,3.423,0.68,us,us10009j0s,2017-08-02T21:11:51.426Z,"42km E of Uchiza, Peru",earthquake,7.4,9.3,0.083,44,reviewed,us,us
2017-08-02T20:03:28.980Z,-28.4656,-71.3488,36.28,5.3,mww,,66,0.355,1.39,us,us10009j01,2017-08-02T22:25:14.098Z,"58km WNW of Vallenar, Chile",earthquake,4.9,4.2,0.08,15,reviewed,us,us
2017-08-02T19:15:20.460Z,-33.0139,-179.3248,28.58,5.3,mb,,48,3.943,1.3,us,us2000a3ry,2017-08-02T19:39:19.040Z,"179km SSW of L'Esperance Rock, New Zealand",earthquake,9.2,4.2,0.056,108,reviewed,us,us
2017-08-02T18:51:11.228Z,59.7499,-136.58,4.1,2.9,ml,,,,0.65,ak,ak16407429,2017-08-02T22:58:08.296Z,"78km WNW of Skagway, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2017-08-02T18:51:03.423Z,59.2413,-136.0073,24.5,2.8,ml,,,,1.07,ak,ak16407434,2017-08-02T18:56:22.539Z,"32km W of Haines, Alaska",earthquake,,3.1,,,automatic,ak,ak
2017-08-02T18:18:08.610Z,24.3341,93.5867,53.57,5.2,mb,,41,0.659,1.03,us,us2000a3r9,2017-08-03T09:14:59.125Z,"8km W of Churachandpur, India",earthquake,6.1,5.9,0.043,179,reviewed,us,us
2017-08-02T16:44:50.000Z,34.2878,24.0255,29.56,4.2,mb,,189,1.225,0.89,us,us2000a3qm,2017-08-03T02:22:06.040Z,"108km SW of Ayia Galini, Greece",earthquake,9.4,8.2,0.115,21,reviewed,us,us
2017-08-02T16:30:26.990Z,-6.3561,130.3161,134.4,4.2,mb,,92,1.887,0.82,us,us2000a3qc,2017-08-03T02:15:08.040Z,"208km NNW of Saumlaki, Indonesia",earthquake,7.3,4.9,0.106,25,reviewed,us,us
2017-08-02T16:16:32.360Z,-53.8114,-4.9645,10,5,mb,,92,17.952,1.45,us,us2000a3qt,2017-08-02T17:16:24.040Z,"Southern Mid-Atlantic Ridge",earthquake,14.4,1.9,0.121,22,reviewed,us,us
2017-08-02T15:59:26.317Z,62.4826,-145.5707,41.2,2.5,ml,,,,0.92,ak,ak16405749,2017-08-02T16:08:01.014Z,"41km N of Glennallen, Alaska",earthquake,,1.1,,,automatic,ak,ak
2017-08-02T15:58:57.625Z,61.4282,-149.9489,25.2,3.1,ml,,,,0.68,ak,ak16405740,2017-08-02T19:36:28.693Z,"10km S of Big Lake, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2017-08-02T15:44:54.201Z,59.787,-152.9742,11.8,2.5,ml,,,,0.71,ak,ak16405715,2017-08-02T16:01:18.195Z,"64km W of Anchor Point, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-08-02T15:23:50.790Z,18.5903,-65.0416,21,2.95,md,4,247,0.71,0.07,pr,pr2017214002,2017-08-02T20:50:19.040Z,"29km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.2,8.83,0.09,4,reviewed,pr,pr
2017-08-02T14:45:46.330Z,-6.2327,147.6688,54.39,4.7,mb,,107,3.191,0.61,us,us2000a3p7,2017-08-03T05:58:01.040Z,"46km NNW of Finschhafen, Papua New Guinea",earthquake,10.4,6.3,0.102,29,reviewed,us,us
2017-08-02T12:49:24.020Z,-35.74,-73.4354,10,4.3,mwr,,191,1.025,1.01,us,us2000a3nw,2017-08-02T19:50:22.025Z,"102km WSW of Constitucion, Chile",earthquake,6.4,2,0.043,52,reviewed,us,us
2017-08-02T12:23:54.830Z,42.4337,143.3393,99.53,4.5,mb,,146,0.439,0.73,us,us2000a3ns,2017-08-02T12:46:13.040Z,"54km SSE of Obihiro, Japan",earthquake,8.5,6.3,0.054,100,reviewed,us,us
2017-08-02T11:59:15.220Z,4.7305,125.5157,35.73,4.7,mb,,110,2.324,0.61,us,us2000a3nr,2017-08-02T12:23:37.040Z,"74km S of Sarangani, Philippines",earthquake,7.8,5,0.079,48,reviewed,us,us
2017-08-02T10:06:25.704Z,61.675,-152.3415,50.2,2.5,ml,,,,0.21,ak,ak16403034,2017-08-02T22:16:54.497Z,"122km W of Willow, Alaska",earthquake,,44.5,,,reviewed,ak,ak
2017-08-02T09:34:26.584Z,58.2963,-153.021,46.9,3,ml,,,,0.43,ak,ak16402587,2017-08-02T22:02:40.344Z,"64km NNW of Kodiak Station, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-08-02T07:49:33.110Z,35.6811,-97.4127,8.31,3,mb_lg,,56,0.12,0.69,us,us2000a3k5,2017-08-03T03:28:20.058Z,"6km ENE of Edmond, Oklahoma",earthquake,1.3,6,0.051,101,reviewed,us,us
2017-08-02T07:26:36.938Z,58.3246,-154.6316,4.3,2.6,ml,,,,0.75,ak,ak16401593,2017-08-02T07:30:56.785Z,"95km NNW of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-08-02T07:15:13.980Z,-33.2088,-70.6355,88.16,5.5,mww,,23,0.072,1.18,us,us2000a3js,2017-08-03T22:40:33.033Z,"25km ENE of Lampa, Chile",earthquake,5.9,3.7,0.073,18,reviewed,us,us
2017-08-02T06:08:30.500Z,37.5776672,-118.9225006,0.6,2.58,md,31,88,0.03486,0.04,nc,nc72857281,2017-08-02T09:13:02.333Z,"9km SSE of Mammoth Lakes, California",earthquake,0.2,0.89,0.11,28,automatic,nc,nc
2017-08-02T05:18:53.160Z,35.6744,-97.4014,4.35,3.5,mb_lg,,20,0.129,0.51,us,us2000a3ja,2017-08-03T13:33:48.666Z,"7km ENE of Edmond, Oklahoma",earthquake,1.3,5.6,0.046,125,reviewed,us,us
2017-08-02T05:07:13.200Z,37.3813324,-118.104332,13.48,2.61,md,31,182,0.1406,0.09,nc,nc72857211,2017-08-03T02:35:32.176Z,"25km E of Bishop, California",earthquake,0.55,0.91,0.17,26,automatic,nc,nc
2017-08-02T04:41:50.200Z,37.1275,-97.6156667,3.84,2.9,ml,19,78,0.008871,0.06,ismpkansas,ismpkansas70232058,2017-08-02T19:18:32.350Z,"10km N of Caldwell, Kansas",earthquake,0.15,0.31,0.161,21,reviewed,ismp,ismp
2017-08-02T04:38:19.140Z,18.6433,-65.9401,65,3.12,md,12,203,0.3638,0.29,pr,pr2017214001,2017-08-02T05:34:56.237Z,"24km NNW of Loiza, Puerto Rico",earthquake,2.35,2.15,0.13,10,reviewed,pr,pr
2017-08-02T04:05:22.520Z,18.934,-66.0875,22,3.27,md,18,227,0.625,0.39,pr,pr2017214000,2017-08-02T05:10:39.840Z,"51km N of San Juan, Puerto Rico",earthquake,1.39,23.9,0.13,12,reviewed,pr,pr
